policy,requester_id,context,difficulty,accepted,status,challenge_rtt_ms,result_rtt_ms,solve_ms,verify_ms,hashes,total_exchange_ms
idba,honest-0,default,18,1,accepted,3.163520,1.086055,65.966194,0.017298,26905,71.051924
idba,honest-0,default,18,1,accepted,3.065894,1.027530,997.169250,0.017208,848908,1002.110882
idba,honest-0,default,18,1,accepted,3.073771,1.126122,385.253193,0.017165,300856,390.346617
idba,honest-0,default,18,1,accepted,3.192132,1.025835,339.065979,0.017210,267732,344.234718
idba,honest-0,default,18,1,accepted,3.232134,1.063987,503.948870,0.017595,409159,509.092619
idba,honest-0,default,18,1,accepted,3.088824,1.776471,16.616865,0.017390,3686,22.426671
idba,honest-0,default,18,1,accepted,3.125524,1.058199,345.831009,0.017063,268380,350.785129
idba,honest-0,default,18,1,accepted,3.296834,1.049987,501.601598,0.018083,408017,506.744951
idba,honest-0,default,18,1,accepted,3.271052,1.061943,807.764084,0.017152,662528,813.021301
idba,honest-0,default,18,1,accepted,3.238307,1.096499,66.116417,0.029464,27046,71.383301
idba,honest-0,default,18,1,accepted,3.346859,1.084135,338.845741,0.017553,261797,344.073870
idba,honest-0,default,18,1,accepted,3.381575,1.021485,105.278033,0.017272,61958,110.603952
idba,honest-0,default,18,1,accepted,3.352636,1.101268,545.686156,0.017140,438776,551.121413
idba,honest-0,default,18,1,accepted,3.308741,1.799486,4.378875,0.017269,944,10.487825
idba,honest-0,default,18,1,accepted,3.399224,1.066827,503.704226,0.017335,419908,509.142892
idba,honest-0,default,18,1,accepted,3.220277,0.938483,523.736908,0.022399,420540,528.829468
idba,honest-0,default,18,1,accepted,3.112803,1.068796,180.884862,0.017482,123975,185.988843
idba,honest-0,default,18,1,accepted,3.381106,1.048663,239.640602,0.018817,177353,244.934499
idba,honest-0,default,18,1,accepted,3.341079,1.046692,349.105418,0.017020,276723,354.287518
idba,honest-0,default,18,1,accepted,3.458019,1.078080,52.073666,0.017162,16614,57.411043
idba,honest-0,default,18,1,accepted,3.562493,1.028065,90.329554,0.016946,47241,95.852733
idba,honest-0,default,18,1,accepted,2.967201,1.069417,100.274901,0.017349,58061,105.076880
idba,honest-0,default,18,1,accepted,3.376003,1.064965,616.988722,0.017734,512286,622.436289
idba,honest-0,default,18,1,accepted,2.882597,1.057427,510.970735,0.017429,409257,515.814391
idba,honest-0,default,18,1,accepted,3.316666,1.031588,402.732072,0.017382,323061,407.877011
idba,honest-0,default,18,1,accepted,3.329482,1.030742,503.715531,0.017471,403377,509.038414
idba,honest-0,default,18,1,accepted,3.220350,1.104956,783.559655,0.017656,643475,788.689109
idba,honest-0,default,18,1,accepted,3.044834,1.056027,137.966592,0.017222,91194,142.979319
idba,honest-0,default,18,1,accepted,3.216072,1.062976,687.614320,0.017409,561336,692.835378
idba,honest-0,default,18,1,accepted,3.084925,1.061607,931.328161,0.026974,788636,936.335553
idba,honest-0,default,18,1,accepted,3.333074,1.072120,290.979239,0.017484,226977,296.172057
idba,honest-0,default,18,1,accepted,3.085900,1.080575,70.729000,0.017555,32589,75.826646
idba,honest-0,default,18,1,accepted,3.155866,1.075199,210.220804,0.017275,149582,215.406015
idba,honest-0,default,18,1,accepted,3.445664,1.077139,267.512841,0.018903,199366,272.972718
idba,honest-0,default,18,1,accepted,3.430459,1.046830,63.600043,0.017417,24259,69.005954
idba,honest-0,default,18,1,accepted,3.439415,1.044116,286.379205,0.017474,221188,291.652568
idba,honest-0,default,18,1,accepted,3.089496,1.050417,89.467139,0.017535,47542,94.522775
idba,honest-0,default,18,1,accepted,3.102743,1.057870,534.838622,0.017445,428135,539.800109
idba,honest-0,default,18,1,accepted,3.085691,1.344868,36.064025,0.017408,8325,41.383593
idba,honest-0,default,18,1,accepted,3.058828,1.053626,156.045728,0.017370,105189,161.090651
idba,honest-0,default,18,1,accepted,3.119167,1.028825,391.755866,0.017493,303912,396.813182
idba,honest-0,default,19,1,accepted,1.780568,1.041278,189.800839,0.019489,160304,193.252483
idba,honest-0,default,19,1,accepted,3.381657,1.028755,79.865164,0.017395,39450,85.152271
idba,honest-0,default,19,1,accepted,3.420161,1.065974,345.661535,0.017274,263841,351.017906
idba,honest-0,default,19,1,accepted,3.592240,1.008844,485.177387,0.017265,384417,490.710064
idba,honest-0,default,19,1,accepted,3.374944,1.042205,471.523190,0.017737,368739,476.744894
idba,honest-0,default,19,1,accepted,3.507965,1.036858,549.077267,0.017036,437135,554.560262
idba,honest-0,default,19,1,accepted,3.113459,1.096555,1708.014028,0.017265,1412903,1713.165306
idba,honest-0,default,19,1,accepted,3.092863,1.100501,1356.743165,0.018938,1119691,1361.748254
idba,honest-0,default,19,1,accepted,3.386952,1.023467,379.816055,0.017414,299846,385.074168
idba,honest-0,default,19,1,accepted,3.307615,1.093395,411.864462,0.017633,322205,417.199838
idba,honest-0,default,19,1,accepted,3.136464,1.048522,2211.454133,0.017272,1844676,2216.600957
idba,honest-0,default,19,1,accepted,3.198971,1.032581,100.143343,0.017516,61533,105.204089
idba,honest-0,default,19,1,accepted,3.242776,1.110930,994.466955,0.017641,816193,999.669219
idba,honest-0,default,19,1,accepted,3.367481,1.042305,255.194336,0.017222,189611,260.394135
idba,honest-0,default,19,1,accepted,3.338646,1.090002,91.551119,0.017510,50716,96.820612
idba,honest-0,default,19,1,accepted,3.414683,1.057515,129.927032,0.017108,82237,135.189970
idba,honest-0,default,19,1,accepted,3.182048,1.114389,1180.653679,0.017641,977112,1185.786151
idba,honest-0,default,19,1,accepted,2.953800,1.038083,77.139789,0.017222,38742,81.987434
idba,honest-0,default,19,1,accepted,3.280687,1.039413,1757.646664,0.017061,1455883,1762.811003
idba,honest-0,default,19,1,accepted,3.196495,1.026611,705.421462,0.017640,571596,710.567541
idba,honest-0,default,19,1,accepted,3.240032,1.027420,469.092286,0.017238,373474,474.161815
idba,honest-0,default,19,1,accepted,3.093355,1.093896,328.147945,0.018241,248450,333.262963
idba,honest-0,default,19,1,accepted,3.275181,1.098442,469.624922,0.017061,369120,474.866870
idba,honest-0,default,19,1,accepted,3.207037,1.072972,3063.431166,0.017760,2564922,3068.658186
idba,honest-0,default,20,1,accepted,3.320205,1.060243,1439.466092,0.015838,1195936,1444.793587
idba,honest-0,default,20,1,accepted,3.066768,1.045737,878.411401,0.015876,718766,883.479432
idba,honest-0,default,20,1,accepted,3.113018,1.036266,496.966510,0.015790,400056,501.890878
idba,honest-0,default,20,1,accepted,3.195895,1.092900,861.377402,0.015939,703166,866.529642
idba,honest-0,default,20,1,accepted,3.215593,1.077209,1574.943782,0.016224,1324165,1580.020601
idba,honest-0,default,20,1,accepted,3.386531,1.050861,893.120815,0.015750,736162,898.361810
idba,honest-0,default,20,1,accepted,3.331221,1.063036,679.306681,0.016093,553388,684.604716
idba,honest-0,default,20,1,accepted,3.398789,1.078023,220.012577,0.015759,161204,225.431340
idba,honest-0,default,20,1,accepted,3.348696,1.032144,157.251145,0.015863,108315,162.555018
