policy,requester_id,context,difficulty,accepted,status,challenge_rtt_ms,result_rtt_ms,solve_ms,verify_ms,hashes,total_exchange_ms
idba,sybil-0,hotspot,20,1,accepted,2.600790,2.438079,1539.612142,0.015909,3019829,1546.737579
idba,sybil-0,default,19,1,accepted,2.662624,1.924945,247.575437,0.016910,493930,254.551769
idba,sybil-0,hotspot,20,1,accepted,2.681663,1.946273,265.328951,0.016229,529567,272.057386
idba,sybil-0,default,19,1,accepted,2.712617,2.529511,372.968506,0.017225,746343,380.638576
idba,sybil-0,reward,20,1,accepted,2.653567,2.200098,1067.409496,0.016462,2093102,1074.348875
idba,sybil-0,hotspot,20,1,accepted,2.756791,2.549822,164.537469,0.015806,326324,171.984283
idba,sybil-0,committee,20,1,accepted,2.724467,2.466603,189.016746,0.016020,374057,196.470832
idba,sybil-0,committee,20,1,accepted,2.840132,2.518640,326.513833,0.016079,647913,333.965893
idba,sybil-0,committee,20,1,accepted,2.713864,2.587869,202.502698,0.015831,403344,209.967356
idba,sybil-0,default,19,1,accepted,2.619818,2.468397,303.935471,0.017208,611742,311.091613
idba,sybil-0,committee,20,1,accepted,2.655969,1.935069,521.999456,0.015688,1039491,528.718708
idba,sybil-0,committee,20,1,accepted,2.430804,1.982604,917.605375,0.016172,1799986,923.898176
idba,sybil-0,hotspot,20,1,accepted,2.251026,2.289352,238.521241,0.015685,477237,244.861433
idba,sybil-0,reward,21,1,accepted,2.863566,2.533280,63.689790,0.017454,125702,71.216450
idba,sybil-0,reward,21,1,accepted,2.836186,1.974093,350.424005,0.017205,698436,357.413241
idba,sybil-0,hotspot,21,1,accepted,2.385092,2.009850,215.723150,0.017651,432699,222.085063
idba,sybil-0,reward,21,1,accepted,2.882812,2.155791,249.599121,0.017046,498363,256.720864
idba,sybil-0,default,20,1,accepted,2.680655,2.668647,142.134646,0.015830,285255,149.618047
idba,sybil-0,hotspot,21,1,accepted,2.316584,1.933497,521.597297,0.018230,1036845,527.862640
idba,sybil-0,committee,21,1,accepted,2.855052,1.955700,493.947094,0.017414,980168,500.775872
idba,sybil-0,committee,21,1,accepted,2.768223,2.016578,574.876866,0.017612,1135922,581.741117
idba,sybil-0,hotspot,21,1,accepted,2.719092,2.558461,674.639558,0.017326,1345944,682.071200
idba,sybil-0,default,20,1,accepted,2.797898,2.496114,159.681844,0.016529,320461,166.957721
idba,sybil-0,hotspot,21,1,accepted,2.700467,2.559521,221.987538,0.017104,438828,229.527012
idba,sybil-0,reward,21,1,accepted,2.522797,1.967549,715.474459,0.017260,1423197,722.209710
idba,sybil-0,committee,21,1,accepted,2.789051,2.620825,414.293421,0.017568,828940,421.857679
idba,sybil-0,hotspot,21,1,accepted,2.741152,2.474500,711.053051,0.017374,1409458,718.508980
idba,sybil-0,hotspot,21,1,accepted,2.470059,2.522733,259.544424,0.017486,520488,266.664778
idba,sybil-0,reward,21,1,accepted,2.784562,2.214697,789.848413,0.017277,1555602,797.077569
idba,sybil-0,hotspot,21,1,accepted,2.817865,2.283563,1177.879391,0.017209,2313744,1185.138564
idba,sybil-0,reward,21,1,accepted,2.768006,2.281306,824.436084,0.019545,1621939,831.526909
idba,sybil-0,default,20,1,accepted,2.656791,2.520512,21.800756,0.015989,43897,29.227894
idba,sybil-0,reward,21,1,accepted,2.831957,2.440538,1117.385629,0.018488,2179244,1124.819030
idba,sybil-0,hotspot,21,1,accepted,2.756925,2.176411,1330.241060,0.017952,2586840,1337.133730
idba,sybil-0,default,20,1,accepted,2.752605,2.586788,73.456087,0.015880,144679,80.985378
idba,sybil-0,committee,21,1,accepted,2.808958,2.299915,3335.375849,0.018592,6418897,3342.616976
idba,sybil-0,committee,21,1,accepted,2.326619,2.559488,508.024916,0.017913,1034232,514.684433
